ID,name,size,address,city,county,city,state,zipcode,Current Zoning,Vacancy,Buildingspace,Application_Entry Date,Vacancy_Description
751,"Chardon Rubber, Former",11,373 Washington Street,Chardon,Geauga,Chardon,OH,44024,-,PARTIALLY_OCCUPIED,209000,8-Jun-10,Partially Occupied
791,Caldwell Street Project (Former Frank Z Chevrolet Property),4.379,1600 and 1620 Brown Street,Dayton,Montgomery,Dayton,OH,454021814,Industrial,PARTIALLY_OCCUPIED,0,14-Jun-10,Partially Occupied
811,Smith Middle School,4,345 Arch Street,Chillicothe,Ross,Chillicothe,OH,45601,-,VACANT,38000,15-Jun-10,Vacant
851,Stearns and Foster Mattress Factory,5.955,238 East Shepherd Street,Lockland,Hamilton,Lockland,OH,45215,Commercial,ORPHANED,0,29-Jun-10,Orphaned/Abandoned
871,"Hoover and Allison Cordage Company, Former",21,677 Cincinnati Avenue,Xenia,Greene,Xenia,OH,453852935,I-2 Heavy Industrial,VACANT,102000,7-Jul-10,Vacant
873,"ODOT District 11, Former",7.84,1072 West High Avenue,New Philadelphia,Tuscarawas,Dover,OH,44622,Business,VACANT,0,7-Jul-10,Vacant
891,Erie Street Redevelopment Project,3.62,371/367 and 329 South Erie Street (43624) and 201/202 South Erie Street (43604),Toledo,Lucas,Toledo,OH,43604,Limited Industrial,VACANT,0,9-Jul-10,Vacant
893,"Howard Paper, Former",4.4,345 South Edwin C. Moses Boulevard,Dayton,Montgomery,Dayton,OH,454010022,Commercial,VACANT,0,9-Jul-10,Vacant
911,"Norco Property, Former",3.2787,4953 Section Avenue,Norwood,Hamilton,Norwood,OH,45212,M2-PUD,VACANT,61262,12-Jul-10,Vacant
933,"RTI Coke Works, Former",27,3000 East 28th Street,Lorain,Lorain,Lorain,OH,44052,-,VACANT,0,13-Jul-10,Vacant
935,"Demsey Steel, Former",14.75,1300 South State Street,Youngstown,Trumbull,Youngstown,OH,44503,-,VACANT,68000,13-Jul-10,Vacant
953,"Estate Stove Property, Former",5.2,845 East Avenue,Hamilton,Butler,Hamilton,OH,45011,"I-2, Industrial District",PARTIALLY_OCCUPIED,78720,15-Jul-10,Partially Occupied
971,Canal Place Limited South End Redevelopment,14,520 South Main Street,Akron,Summit,Akron,OH,44308,URD-R89,PARTIALLY_OCCUPIED,1100000,22-Jul-10,Partially Occupied
1011,"Trinity Difco, Former",18,1501 North Main Street,Findlay,Hancock,Findlay,OH,45840,Light/General Industrial,PARTIALLY_OCCUPIED,0,30-Jul-10,Partially Occupied
1013,Painesville Hotel,1.6,257 East Main Street,Painesville,Lake,Painesville,OH,44077,"B-2, General Business",ORPHANED,65334,30-Jul-10,Orphaned/Abandoned
1033,Newark Processing Site,65.51,1367 East Main Street,Newark,Licking,Newark,OH,43055,General Industrial,VACANT,0,12-Aug-10,Vacant
1071,Mendelson Storage Building,0.8752,329 East First Street,Dayton,Montgomery,Dayton,OH,454021814,Urban Business District,PARTIALLY_OCCUPIED,214620,26-Aug-10,Partially Occupied
1073,American Can Building,2,4101 Spring Grove Avenue,Cincinnati,Hamilton,Cincinnati,OH,45202,Planned Development District No. 47,VACANT,180000,26-Aug-10,Vacant
1091,"Oil and Battery, Former",0.9,125 and 127 East 2nd Street,Chillicothe,Ross,Chillicothe,OH,45601,-,VACANT,0,14-Sep-10,Vacant
1111,Old Akron Technical Center Facility,33,1200 Firestone Parkway,Akron,Summit,Akron,OH,44308,U-5 Ordinary Industry,PARTIALLY_OCCUPIED,720000,15-Sep-10,Partially Occupied
1131,"Frames Market, Former",1,3839 State Route 93 NE,Crooksville,Perry,New Lexington,OH,43764,-,VACANT,25000,16-Sep-10,Vacant
1151,Blue Creek Conservation Area,152,10707 Neopolis / Waterville Road,Whitehouse,Lucas,Maumee,OH,43537,Sub. Residential,PARTIALLY_OCCUPIED,40468,28-Sep-10,Partially Occupied
1171,Proposed VA Outpatient Clinic,10,"1045 and 1065 Research Drive, and 1200 South Detroit Avenue",Toledo,Lucas,Toledo,OH,43604,Planned Business/Industrial Park,VACANT,0,29-Sep-10,Vacant
1191,Fortuna-Cleveland Expansion,10.79,"2525 Rockefeller Avenue, 2727 and 2655 Transport Road",Cleveland,Cuyahoga,Cleveland,OH,44114,Un-restricted Industrial,PARTIALLY_OCCUPIED,23766,1-Oct-10,Partially Occupied
1211,"J&L Lagoons, Former",209.58,1500 West Main Street,Louisville,Stark,Louisville,OH,44641,I2,VACANT,0,21-Oct-10,Vacant
1231,COTA Fields Avenue Facility,10.684,1333 Fields Avenue,Columbus,Franklin,Columbus,OH,43215,M - Manufacturing,PARTIALLY_OCCUPIED,273130,15-Nov-10,Partially Occupied
1251,"Delphi Automotive Plant, Former",121.633,200 Georgesville Road,Franklin Township,Franklin,Columbus,OH,43215,Industrial,VACANT,0,29-Nov-10,Vacant
1271,Liberty-Paramount Theater,0.2,138 West Federal Street,Youngstown,Mahoning,Youngstown,OH,44503,-,VACANT,15787,1-Dec-10,Vacant
1291,Jeep Parkway,111,1000 Jeep Parkway,Toledo,Lucas,Toledo,OH,43604,Industrial,ORPHANED,0,6-Dec-10,Orphaned/Abandoned
1293,Warner and Swasey,3.1099,5701 Carnegie Avenue,Cleveland,Cuyahoga,Cleveland,OH,44114,Mid-Town Mixed Use,VACANT,180000,6-Dec-10,Vacant
1311,"Lancaster Glass Site, Former",2.6,240 West Main Street,Lancaster,Fairfield,Columbus,OH,43215,Industrial/Manufacturing,VACANT,0,10-Dec-10,Vacant
1331,"West Side Chevrolet, Former",1.14,"718, 800 West Third Street",Dayton,Montgomery,Dayton,OH,45402,Mature Neighborhood Commercial District,VACANT,50540,15-Dec-10,Vacant
1351,Lake Link Trail,2.724,00000 Mulberry Street,Cleveland,Cuyahoga,Cleveland,OH,44115,General Industry,VACANT,0,23-Dec-10,Vacant
1353,"Walker National, Former",2.39,811 Kinnear Road,Columbus,Franklin,Columbus,OH,43085,LI - Limited Industrial,VACANT,38555,23-Dec-10,Vacant
1373,John Hartness Brown Building,1.21,"1001,1007,1015, 1021 and 1101 Euclid Avenue",Cleveland,Cuyahoga,Cleveland,OH,44114,GR-E5 (General Retail),VACANT,52696,5-Jan-11,Vacant
1375,Seiberling Redevelopment Project,30,345 15th St. NW,Barberton,Summit,Barberton,OH,44203,Industrial,VACANT,1170000,5-Jan-11,Vacant
1391,"Doehler Jarvis Plant 2, Former",49,5400 North Detroit Avenue,Toledo,Lucas,Toledo,OH,43604,Industrial,PARTIALLY_OCCUPIED,711000,6-Jan-11,Partially Occupied
1395,"Wonder Bread Bakery, Former",4.3,642 Richmond Street,Cincinnati,Hamilton,Cincinnati,OH,45202,-,PARTIALLY_OCCUPIED,79176,6-Jan-11,Partially Occupied
1411,"Hexion Specialty Chemicals, Former",13.973,630 Glendale-Milford Road,Woodlawn,Hamilton,Woodlawn,OH,45215,-,PARTIALLY_OCCUPIED,112703,7-Jan-11,Partially Occupied
1413,St. Joseph Community Center,5.5,205 West 20th Street (and adjacent properties),Lorain,Lorain,Richfield,OH,44286,"B-1, General Business",PARTIALLY_OCCUPIED,182174,7-Jan-11,Partially Occupied
1415,Oakley North Redevelopment,65,4701 Marburg Avenue,Cincinnati,Hamilton,Miamisburg,OH,45342,PD,VACANT,0,7-Jan-11,Vacant
1431,Madison Building,0.45,607 Madison Avenue,Toledo,Lucas,Toledo,OH,43604,-,PARTIALLY_OCCUPIED,75654,14-Feb-11,Partially Occupied
1451,Superior Cement Company,50.738,490 County Road 41 South,Pedro,Lawrence,Ironton,OH,45638,Industrial,VACANT,0,28-Feb-11,Vacant
1471,"Steel Ceilings Property, Former",15.8,500 North Third Street,Coshocton,Coshocton,Coshocton,OH,43812,M-1 (Light Manufacturing),VACANT,83066,10-Mar-11,Vacant
1491,"Davidson Metals, Former",8,1630 Wilson Avenue,Youngstown,Mahoning,Youngstown,OH,44503,-,VACANT,1616,6-Apr-11,Vacant
1511,"Richland Moulded Brick Facility, Former",145,1000 Richland Shale Road,"Franklin and Weller Townships, City of Mansfield",Richland,Mansfield,OH,44902,Industrial,VACANT,56000,7-Apr-11,Vacant
1531,Forest Park Plaza,45.502,4360 North Main Street,Dayton,Montgomery,Dayton,OH,45414,Commercial,PARTIALLY_OCCUPIED,113200,14-Apr-11,Partially Occupied
1533,"Q3/Johnson Manufactured Properties, Former",19.999,605 Miami Street,Urbana,Champaign,Urbana,OH,43078,Light Industrial,VACANT,108325,14-Apr-11,Vacant
1551,"OVCH Facility, Former",78.55,690 Home Avenue,Xenia,Greene,Xenia,OH,45385,PUD - Mixed Use,PARTIALLY_OCCUPIED,100000,19-Apr-11,Partially Occupied
1571,Emerald Alliance VII,0.5528,9431 Lorain Avenue and 3147 West 95th Street,Cleveland,Cuyahoga,Cleveland,OH,44114,-,VACANT,47500,21-Apr-11,Vacant
1591,Kolthoff Road Landfill,100,00000 Grayton Road and IX Center Drive,Cleveland,Cuyahoga,Cleveland,OH,44114,"GI-B3, General Industry",VACANT,0,3-May-11,Vacant
1621,"Starfire Express, Former",0.766,471 North Ewing Street,Lancaster,Fairfield,Lancaster,OH,43130,General Commercial,VACANT,0,25-May-11,Vacant
1623,"American Carco, Former",1.8,2800 Ontario Avenue,Dayton,Montgomery,Dayton,OH,45414,Manufacturing and Light Assembly,ORPHANED,0,25-May-11,Orphaned/Abandoned
1631,Centre City Building,0.532,36 South Main Street,Dayton,Montgomery,Powel,OH,43065,CBD,PARTIALLY_OCCUPIED,282728,9-Jun-11,Partially Occupied
1633,"Miami Packaging, Former",9.8,1701 Reinartz Avenue,Middletown,Butler,Middletown,OH,45042,Commercial,PARTIALLY_OCCUPIED,152460,9-Jun-11,Partially Occupied
1651,Milacron Plant 5,16.31,3025 Disney Street,Cincinnati,Hamilton,Miamisburg,OH,45342,PD,VACANT,220000,14-Jun-11,Vacant
1693,"YS&T Seamless Tube Mill, Former (Sherman International)",71.04,2.293 feet SE of Central Street,Youngstown,Mahoning,Youngstown,OH,44503,Industrial,VACANT,0,22-Jun-11,Vacant
1713,"Timken Site, Former",31,1047 Cleveland Avenue,Columbus,Franklin,Columbus,OH,43215,Manufacturing,VACANT,3000,24-Jun-11,Vacant
1735,Atlas Building,0.334,8 East Long Street,Columbus,Franklin,Columbus,OH,43215,Downtown District,PARTIALLY_OCCUPIED,123625,27-Jun-11,Partially Occupied
1753,800 Mogadore Road,17.7,800 Mogadore Road,Kent,Portage,Kent,OH,44240,Industrial,VACANT,0,29-Jun-11,Vacant
1775,5th Avenue Lumber,2.54,479 East Fifth Avenue,Columbus,Franklin,Columbus,OH,43215,Manufacturing,FULLY_OCCUPIED,45000,6-Jul-11,Fully Occupied
1793,Viking Hall Block Property,1.735,2112-2130 Euclid Avenue,Cleveland,Cuyahoga,Cleveland,OH,44115,GR-E5,VACANT,212016,8-Jul-11,Vacant
1813,Plabell Rubber Company Property Development,3.8,300 South St. Clair (primary),Toledo,Lucas,Toledo,OH,43604,COMwarehse,VACANT,0,11-Jul-11,Vacant
1815,"Apex Manufacturing, Former",13.7531,1643 First Street,Sandusky,Erie,Sandusky,OH,44870,General Manufacturing/Commercial Recreational,VACANT,0,11-Jul-11,Vacant
1817,Samuel Adams Brewery - Calmego West Expansion,0.369,"411, 419, 421 Poplar Street and 424, 426 Oliver Street",Cincinnati,Hamilton,Cincinnati,OH,45202,330-Medium Manufacturing and Assembly and 400-Commercial Vacant Land,PARTIALLY_OCCUPIED,12000,11-Jul-11,Partially Occupied
1819,Lick Run Green Infrastructure,3.881,2121 State Avenue,Cincinnati,Hamilton,Cincinnati,OH,45204,Manufacturing,PARTIALLY_OCCUPIED,15000,11-Jul-11,Partially Occupied
1823,UpTown Signature Park,2.42,311 18th Street and others,Toledo,Lucas,Toledo,OH,43604,-,VACANT,26800,11-Jul-11,Vacant
1833,Printing Services Company / Goodwill Easter Seals,6.167,652 South Main Street,Dayton,Montgomery,Dayton,OH,45404,MGC - Mature General,PARTIALLY_OCCUPIED,0,12-Jul-11,Partially Occupied
1853,"Mithoff Hotel, Former",0.3468,162-168 West Main Street,Lancaster,Fairfield,Lancaster,OH,43130,Central Business District,VACANT,0,28-Jul-11,Vacant
1873,"Republic Steel/Current BRT Extrusions, Former",28,1818 North Main Street,Niles,Trumbull,Niles,OH,44446,-,PARTIALLY_OCCUPIED,262000,30-Aug-11,Partially Occupied
1893,"Smith and Nixon Manufacturing Facility, Former",4.16,4817 Section Avenue,Norwood,Hamilton,Norwood,OH,45212,M2,VACANT,0,26-Sep-11,Vacant
1913,"US Steel, Former",67,100 Ohio Avenue,McDonald,Trumbull,McDonald,OH,44437,Industrial,VACANT,0,28-Sep-11,Vacant
1933,"Fairfield Engineering, Former",7.99,342 Barnhart Street,Marion,Marion,Marion,OH,43302,Industrial,VACANT,75000,18-Oct-11,Vacant
1953,"Kaul Clay, Former",42.986,State Route 7 and County Road 47,Toronto,Jefferson,Steubenville,OH,43952,-,VACANT,0,3-Nov-11,Vacant
1955,Bucyrus Community Theatre,0.24,300-306 South Sandusky Street,Bucyrus,Crawford,Bucyrus,OH,44820,-,VACANT,11682,3-Nov-11,Vacant
1973,"Zeller Property, Former",3.33,1307 Baltimore,Defiance,Defiance,Defiance,OH,43512,M-3 - General Industrial,VACANT,0,8-Nov-11,Vacant
1993,"Mighty Moe's/Rayen Building, Former",0.56,315 Elm Street / 158 West Rayen Avenue,Youngstown,Mahoning,Youngstown,OH,44503,Business (Commercial),VACANT,3640,30-Nov-11,Vacant
2013,Field of Hope Community Campus,47,11821 State Route 160,Vinton,Gallia,Vinton,OH,45686,None,PARTIALLY_OCCUPIED,32532,1-Dec-11,Partially Occupied
2053,"Volcanic Heater, Inc.",2.727,201 Hartzell Street,Alliance,Stark,Alliance,OH,44601,-,VACANT,17700,14-Dec-11,Vacant
2055,Stewart Brothers Paint Company,3.81,1010 and 1042 North Union Avenue,Alliance,Stark,Alliance,OH,44601,-,VACANT,32849,14-Dec-11,Vacant
2057,"Fraser Paper, Former",16,51 South Elm Street,West Carrollton,Montgomery,West Carrollton,OH,45449,Planned Unit Development,VACANT,5800,14-Dec-11,Vacant
2059,CornerStone Business Park at the Former Twinsburg Stamping Plant,167.52,2000 East Aurora Road,Twinsburg,Summit,Indianapolis,IN,46240,I-3 Heavy Industrial,-,800000,14-Dec-11,-
2073,"Smith Brothers Cleaners & Retail Facility, Former",1.46,701-721 East 185th Street,Cleveland,Cuyahoga,Cleveland,OH,44114,"LR, Local Retail",VACANT,12000,16-Dec-11,Vacant
2093,"Sandusky Cabinets, Inc., Former",1.7,513 East Washington Street,Sandusky,Erie,Sandusky,OH,44870,CS: Commercial Service,VACANT,46500,22-Dec-11,Vacant
2095,BSL Holdings Property,11.523,1517-1617 Fifth Street,Sandusky,Erie,Sandusky,OH,44870,Commercial Service & General Manufacturing,PARTIALLY_OCCUPIED,35000,22-Dec-11,Partially Occupied
2097,"Zeller II Property, Former",2.37,1357 Baltimore,Defiance,Defiance,Defiance,OH,43512,M-3 - General Industrial,PARTIALLY_OCCUPIED,46850,22-Dec-11,Partially Occupied
2113,Scranton Road Property,5,2151 Scranton Road,Cleveland,Cuyahoga,Cleveland,OH,44114,General Industry,VACANT,187000,3-Jan-12,Vacant
2133,Schwebel Flex Industrial/Technology Brownfield Redevelopment Site,12.8,"1950 Newberry Avenue (02-18449), 310 Tallmadge Road (02-19506), and 406 Tallmadge Road (02-18447)",Cuyahoga Falls,Summit,Cuyahoga Falls,OH,44221,E-1 Employment District,PARTIALLY_OCCUPIED,100000,4-Jan-12,Partially Occupied
2153,"Orlando Baking Company, former Van Dorn Buildings",2.7,2700 East 79th Street,Cleveland,Cuyahoga,Cleveland,OH,44114,General Industry,PARTIALLY_OCCUPIED,114058,5-Jan-12,Partially Occupied
2177,"NorthTowne Square Mall, Former",69.28,"301 New Towne Square Dr, 343 New Town Square, 5901 Skyview Dr, 501 New Towne Sq, 220 Mel Simon Dr",Toledo,Lucas,Toledo,OH,43604,IL: Limited Industrial District; CR-SO: Regional Commercial District,VACANT,-,9-Jan-12,Vacant
2193,"Springfield Landfill, Former",39.17,South Limestone Street,Springfield,Clark,Springfield,OH,45506,-,VACANT,0,11-Jan-12,Vacant
2213,Dayton Aviation Heritage Redevelopment Project,55,2701 Home Avenue,Dayton,Montgomery,Dublin,OH,43016,I-2 - General Industrial,VACANT,1460000,12-Jan-12,Vacant
2233,"Dublin Road Landfill, Former/Grandview Crossing",36,Located off the northeast corner of Dublin Road and Grandview Avenue,Columbus/Grandview Heights,Franklin,Columbus,OH,43215,Manufacturing,VACANT,0,13-Jan-12,Vacant
2235,"Univar USA Inc., fka Van Waters and Rogers Site",3.08,4582 Willow Parkway,Cuyahoga Heights,Cuyahoga,Cuyahoga Heights,OH,44125,Industrial,PARTIALLY_OCCUPIED,30000,13-Jan-12,Partially Occupied
2239,"Nursing Home, Former",0.53,1336 Maryland Avenue,Steubenville,Jefferson,Steubenville,OH,43952,"R-2, Medium Density",VACANT,12000,13-Jan-12,Vacant
2241,Grand Theater,0.25,"115, 121 and 123 South Fourth Street",Steubenville,Jefferson,Steubenville,OH,43952,"B-1, Central Business",PARTIALLY_OCCUPIED,10380,13-Jan-12,Partially Occupied
2253,"Thyssenkrupp Crankshaft, Former",47.381,901 US Highway 23 (Springfield Avenue),Fostoria,Seneca,Fostoria,OH,44830,M-2 General Industrial,VACANT,360000,17-Jan-12,Vacant
2255,Advance Technology Corporation and Tackle Hill LLC,12.91,193 North Cedar,Geneva,Ashtabula,Geneva,OH,44041,Industrial,VACANT,0,17-Jan-12,Vacant
2257,"American National Can, Former",44.178,201 Madison Street,Mount Vernon,Knox,Mount Vernon,OH,43050,-,VACANT,0,17-Jan-12,Vacant
2273,"Standard Carbon, Former",5.127,130 Warren Lane,Wintersville,Jefferson,Steubenville,OH,43952,Industrial,PARTIALLY_OCCUPIED,14835,18-Jan-12,Partially Occupied
2293,Elk River,31.98,6690 US 52,Ripley,Brown,Ripley,OH,45167,111,PARTIALLY_OCCUPIED,-,1-Feb-12,Partially Occupied
2313,Masters Tuxedo,1.51,3600 Market Street,Youngstown,Mahoning,Youngstown,OH,44503,B-2 General Business,ORPHANED,23690,29-Feb-12,Orphaned/Abandoned
2315,"Gas Station, Former",0.71,2978 McGuffey,Youngstown,Mahoning,Youngstown,OH,44503,B-3 Community Business,ORPHANED,6000,29-Feb-12,Orphaned/Abandoned
2353,Former Parker's Marathon,0.325,18 West Waterloo Street,Canal Winchester,Franklin,Columbus,OH,43206,General Commercial District,VACANT,0,23-Apr-13,Vacant
2395,Weber Dental Manufacturing Co. (Former),7,2206 13th St. NE,Canton,Stark,Canton,OH,44702,I-2 Heavy Industrial,ORPHANED,0,1-May-13,Orphaned/Abandoned
2413,Ohio Cast Products,11.3,2408 13th Street NE,Canton,Stark,Canton,OH,44702,I-2 heavy industrial,ORPHANED,44000,29-Aug-13,Orphaned/Abandoned
2433,RGS Automotive,0.5,122 North Meridian,Ravenna,OH,Ravenna,OH,44266,Central Business Unit,VACANT,5944,13-Dec-13,Vacant
2453,Higginsport School,1.25,306 Jackson St,Higginsport,Brown,Higginsport,OH,45131,No Zoning in Village,VACANT,18000,6-Feb-14,Vacant
2473,Former Smith & Cowan,2.5,127 Pittsburg St,Ravenna,Portage,Ravenna,OH,44266,Industrial,ORPHANED,2000,28-Apr-14,Orphaned/Abandoned
2492,Estate of Betty Van Winkle,3.144,5704 SR 73 West,Wilmington,Clinton,Wilmington,OH,45177,Residential,FULLY_OCCUPIED,3402,3-Oct-16,Fully Occupied
2493,Cordray Holdings LLC,1.255,754 Berdan Ave,Toledo,Lucas,Toledo,OH,43604,Limited Industrial,PARTIALLY_OCCUPIED,31316,3-Oct-16,Partially Occupied
2512,Former Leatherworks,26.06,1052 N State St,Girard,Trumbull,Girard,OH,44420,Industrial,ORPHANED,-,4-Oct-16,Orphaned/Abandoned
2513,Former Valvoline,0.274,2290 Losantiville,Golf Manor,Hamilton,Golf Manor,OH,45237,Commercial,VACANT,0,4-Oct-16,Vacant
2514,Hunter's Garage,0.15,16 Main St,Chauncey,Athens,Chauncey,OH,45719,N/A,VACANT,6455.22 sq ft,4-Oct-16,Vacant
2515,Lucas County Facility Services Building,2.714,761 Berdan Ave,Toledo,Lucas,Toledo,OH,43604,General Industrial,PARTIALLY_OCCUPIED,111559 sq ft,4-Oct-16,Partially Occupied
2516,Former Municipal Court Building,0.1234,134 Southgate Parkway,Cambridge,Guernsey,Cambridge,OH,43725,Commercial,VACANT,5384 sq ft,4-Oct-16,Vacant
2517,TDC,1.554,3339 N Dixie Dr,Dayton,Montgomery,Dayton,OH,45414,B-4,VACANT,24000 sp ft,4-Oct-16,Vacant
2518,CitGo Gas Station,0.54,604 S Washington St,Castalia,Erie,Castalia,OH,44824,Commercial,ORPHANED,1836 sq ft,4-Oct-16,Orphaned/Abandoned
2519,Old Clark Gas Station/Millennium Property,0.33,1100 Mt Vernon Road,Newark,Licking,Newark,OH,43055,General Commercial,ORPHANED,-,4-Oct-16,Orphaned/Abandoned
2520,Fulper Auto Parts,0.51,5599 Liberty Ave,Vermilion,Erie,Vermilion,OH,44089,Commercial,VACANT,-,5-Oct-16,Vacant
2521,Miller Property,0.32,3 W Market St,Marshallville,Wayne,Marshallville,OH,44645,Commercial,VACANT,-,5-Oct-16,Vacant
2532,Sinclair Gas Station,0.298,800 Wyoming Ave,Lockland,Hamilton,Lockland,OH,45215,C-2 Central Commercial District,VACANT,0,6-Oct-16,Vacant
2533,Swims Grocery,0.298,5516 Norton Road,Grove City,Franklin,Grove City,OH,43123,Rural,VACANT,-,6-Oct-16,Vacant
2534,Windham Alloys,14.94,9215 State Route 303,Windham Township,67,Windham,OH,44288,Commercial/Industrial,VACANT,15000,6-Oct-16,Vacant
2552,Meridian Automotive,52.668,1020 East Main St,Jackson,Jackson,Jackson,OH,45640,Industrial,PARTIALLY_OCCUPIED,60000,7-Oct-16,Partially Occupied
2572,Former Champion (Smart) Paper,45,601 North B Street,Hamilton,Bulter,Hamilton,OH,45011,Industrial I-2,VACANT,"1,345,000 sq ft",21-Nov-16,Vacant
2612,Nickels Gulf Station,0.97,3299 Port Clinton Rd,Fremont,Sandusky,Fremont,OH,43420,Commercial,VACANT,1260 sq ft,29-Sep-17,Vacant
2613,Keystone Gas Station,0.0424,308 S Third Ave,Middleport,Meigs,Middleport,OH,45760,Commercial,PARTIALLY_OCCUPIED,-,29-Sep-17,Partially Occupied
2614,Jim's Union 76,0.4886,104 S Main St,Hollansburg,Darke,Hollansburg,OH,45332,Commercial,VACANT,-,29-Sep-17,Vacant
2615,Aberdeen Middle and High School,0.5,99 Main Cross St,Aberdeen,Brown,Aberdeen,OH,45101,-,PARTIALLY_OCCUPIED,-,29-Sep-17,Partially Occupied
2616,Stearns and Foster - Western Portion,4.89,NW Intersection of Shepherd Ave and Wyoming Ave,Lockland,Hamilton,Cincinnati,OH,45212,Light Industrial,VACANT,8000 sq ft,29-Sep-17,Vacant
2617,Former Gas Station,0.4,600 W Main St,Van Wert,Van Wert,Van Wert,OH,45891,Commercial,FULLY_OCCUPIED,1247 sq ft,29-Sep-17,Fully Occupied
2618,N Dixie Dr Commercial Building,0.3254,6239 N Dixie Dr,Dayton,Montgomery,Dayton,OH,45414,Commercial,VACANT,-,18-Dec-17,Vacant
2619,Farm Service Center,5.17,614 N Broadway,Spencerville,Allen,Spencerville,OH,45887,M1 and M-2,VACANT,-,18-Dec-17,Vacant
2620,Premier Cleaners,0.2,201 Cleveland Ave NW,Canton,Stark,Canton,OH,44702,-,VACANT,6140 sq ft,18-Dec-17,Vacant
2632,Cookson Pottery,0.82,48 Potters Lane,Roseveille,Muskingum,Roseville,OH,43777,None,VACANT,0,28-Sep-18,Vacant
2633,Benson Gas Station,0.56,112 E Main St,Geneva,Ashtabula,Jefferson,OH,44047,-,VACANT,-,28-Sep-18,Vacant
2652,Pump House,5.59,425 Orange St,Ashland,Ashland,Ashland,OH,44805,Industrial,PARTIALLY_OCCUPIED,-,31-Dec-19,Partially Occupied
2653,St. Paris Junior High,7,370 E Main St,St. Paris,Champaign,St Paris,OH,43072,R-1,VACANT,-,31-Dec-19,Vacant
2654,Skips Gas Station,1.2898,1835 Park Ave W.,Mansfield,Richland,Sunbury,OH,43074,Commercial,VACANT,-,31-Dec-19,Vacant
2655,St. Roberts Redevelopment Project,0.125,23750 Lakeshore Blvd,Euclid,Cuyahoga,Euclid,OH,44123,Campus Institutional,VACANT,0,31-Dec-19,Vacant
2672,Delmer Hicks Bi-Lo Bulk Twin Valley,0.79,2889 State Route 139,Twin Valley,Scioto,Portsmouth,OH,45662,Commercial,VACANT,3200 sq. ft.,22-Jul-21,Vacant
2692,"Metaldyne Driveline/ Lester Precision Die Casting, LLC",3,25661 Cannon Road,Bedford Heights,Cuyahoga,Bedford Heights,OH,44146,Industrial,ORPHANED,0,26-Jul-21,Orphaned/Abandoned
2712,UMWA UNION HALL,0.078,3201 GUERNSEY STREET,BELLAIRE,Belmont,Bellaire,OH,43906,Commercial,VACANT,2577,27-Jul-21,Vacant
2732,Corner Restaurant,0.0424,308 S 3rd Ave.,Middleport,Meigs,Columbus,OH,43212,Commercial,-,n/a,10-Aug-21,-
2752,Former CSX Transportation,3.31,Between 26th street and 32nd streets,Bellaire,Belmont,Bellaire,OH,43906,Industrial,VACANT,n/a,8-Sep-21,Vacant
2772,Big Boy Restaurant,1.894,804 & 820 Front Street,Berea,Cuyahoga,Berea,OH,44017,Commercial/Retail,VACANT,3920sq feet,10-Sep-21,Vacant
2773,Brickyard Property,208,239 Seville Road,Wadsworth,Medina,120 Maple Street,OH,44281,Industrial,PARTIALLY_OCCUPIED,n/a,10-Sep-21,Partially Occupied
2793,Buster Bi-Lo 19,1.14,14314 N US 23,Waverly,Pike,Waverly,OH,45690,Commercial,VACANT,3200,16-Mar-22,Vacant
2812,Buster Bi-Lo 31,0.0671,0 State & Bridge Street,Jackson,Jackson,Jackson,OH,45640,Commercial,VACANT,1300,21-Mar-22,Vacant
2832,Sinclair Gas Station,0.363,875 S. Clinton Street,Defiance,Defiance,Defiance,OH,43512,commercial,VACANT,-,3-Aug-22,Vacant
2833,Ricer Gas Station,0.45,258 Beaver Pike,Waverly,Pike,Waverly,OH,45690,commercial,VACANT,5565 sq ft,3-Aug-22,Vacant
2852,Miracle Lane,6.294,3100 Salem Ave,Dayton,Montgomery,Dayton,OH,45402,EG Commercial,VACANT,-,13-Dec-22,Vacant
2853,Former Ohio Oil Company,0.2621,802 Lagrange St,Toledo,Lucas,Toledo,OH,43604,commercial,-,600,-,-
2872,Glass City Industrial Park,90,2522 Champlain ST,Toledo,Lucas,Toledo,OH,43604,10-IG Industrial,VACANT,-,9-Jan-23,Vacant
2892,Ducky's Remediation Project,0.093,100 W. Market St,Troy,Miami,Troy,OH,45373,B-2 General Business District,-,0,4-Apr-23,-
